field_1,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,BikeRoadLength,BikeRoadCount
148,11140162,Sindang-dong,신당동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
149,11140163,Heungin-dong,흥인동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
150,11140164,Muhak-dong,무학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
151,11140165,Hwanghak-dong,황학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
152,11140166,Seosomun-dong,서소문동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
153,11140167,Jeong-dong,정동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
154,11140168,Sunhwa-dong,순화동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
155,11140169,Uijuro 1(il)-ga,의주로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
156,11140170,Chungjeongno 1(il)-ga,충정로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
157,11140171,Jungnim-dong,중림동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
158,11140172,Uijuro 2(i)-ga,의주로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
159,11140173,Malli-dong 1(il)-ga,만리동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
160,11140174,Malli-dong 2(i)-ga,만리동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
161,11170101,Huam-dong,후암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
162,11170102,yongsan-dong  2(i)-ga,용산동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,572.689335657077,6
163,11170103,Yongsan-dong 4(sa)-ga,용산동4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1549.16046366985,6
164,11170104,Garwol-dong,갈월동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,223.904421419468,2
165,11170105,Namyeong-dong,남영동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
166,11170106,Yongsan-dong 1(il)-ga,용산동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,713.362427008936,6
167,11170107,Dongja-dong,동자동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
168,11170108,Seogye-dong,서계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
169,11170109,Cheongpa-dong 1(il)-ga,청파동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
170,11170110,Cheongpa-dong 2(i)-ga,청파동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
171,11170111,Cheongpa-dong 3(sam)-ga,청파동3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
172,11170112,Wonhyoro 1(iI)-ga,원효로1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,125.995809797071,1
173,11170113,Wonhyoro 2(i)-ga,원효로2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
174,11170114,Sinchang-dong,신창동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
175,11170115,Sancheon-dong,산천동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
176,11170116,Cheongam-dong,청암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,263.070262883431,5
177,11170117,Wonhyoro 3(sam)-ga,원효로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
178,11170118,Wonhyoro 4(sa)-ga,원효로4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,619.125673612641,11
179,11170119,Hyochang-dong,효창동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
180,11170120,Dowon-dong,도원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
181,11170121,Yongmun-dong,용문동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
182,11170122,Munbae-dong,문배동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,439.639050756622,4
183,11170123,Singye-dong,신계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
184,11170124,Hangangno 1(il)-ga,한강로1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,233.309312458683,4
185,11170125,Hangangno 2(i)-ga,한강로2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
186,11170126,Yongsan-dong 3(sam)-ga,용산동3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,421.810172372846,3
187,11170127,Yongsan-dong 5(o)-ga,용산동5가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
188,11170128,Hangangno 3(sam)-ga,한강로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,358.240025921314,3
189,11170129,Ichon-dong,이촌동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,12292.7253409178,109
190,11170130,Itaewon-dong,이태원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
191,11170131,Hannam-dong,한남동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,6016.80651225622,47
192,11170132,Dongbinggo-dong,동빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,243.458316365199,5
193,11170133,Seobinggo-dong,서빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4826.99899461605,48
194,11170134,Juseong-dong,주성동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,406.062563694773,5
195,11170135,Yongsan-dong 6(yuk)-ga,용산동6가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,2946.77369887162,18
196,11170136,Bogwang-dong,보광동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,588.547716832817,10
197,11200101,Sangwangsimni-dong,상왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,509.754805975442,3
198,11200102,Hawangsimni-dong,하왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,300.243147103356,3
199,11200103,Hongik-dong,홍익동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,306.274834996687,2
200,11200104,Doseon-dong,도선동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,0,0
